definition,answer,occurrences,example_clue,approve
concerning intersections,NODICAL,1,"Concerning intersections and loci, maybe",
concerts here,LYCEUM,1,My clue to rock concerts here,
conclusion,DEBRIS,1,Bride's shattering conclusion?,
condition,NEPHRITIS,1,Hipster in terrible condition,
condition induced,STUPOR,1,Condition induced by Proust novel?,
condition without them,UNDIES,1,Nude is condition without them,
confectionery,PRALINE,1,Revamped plainer confectionery,
confederate leader,JEFFERSONDAVIS,1,Confederate leader jives wildly about and offers change,
confidence,SELF-ESTEEM,1,Confidence sees me left unhappy,
confidential informant releasing,DEEPTHROAT,1,Confidential informant releasing red-hot tape,
confirming,ASCERTAINING,1,Confirming seating in car trip,
conflict? what,DISAGREEMENT,1,Conflict? What makes it seem danger?,
congressional adviser,SEXTHERAPIST,1,"Congressional adviser, as this expert might be",
connect devices,DAISYCHAIN,1,Connect devices by adapting handy ASCII,
connected,AFFILIATED,1,"File data, if somehow connected",
conscientiously,ONESBEST,1,Broken bones set — it's done conscientiously,
conscript,ENLIST,1,Listen out for conscript,
consecrate,ANOINT,1,Consecrate into an order,
consecrates,SWEARS IN,1,"Wrong answer is ""consecrates""",
conservative,ESTABLISHMENT,1,Conservative ruined NHS timetables,
conservative attitude,TRADITIONALISM,1,Conservative attitude is fixed aim in old artist,
conservatively speaking,TO SAY THE LEAST,1,"Conservatively speaking they lost at sea, beaten",
considerable resources needed,WEALTH,1,Considerable resources needed to change the law,
considerate approach,SOLICITUDE,1,Considerate approach misinterpreted as idle coitus,
considers,RUMINATES,1,Considers a terminus needs renovation,
consistency,UNIFORMITY,1,"In fury, omit to organise consistency",
consistency,TRUSTWORTHINESS,1,Liquid runs — it's the worst consistency?,
constant rate,STEADILY,1,Sadly tie knots at a constant rate,
constituency election here,EATANSWILL,1,Want allies mobilised for constituency election here,
constituent,SECTION,1,Constituent liberal notices,
consumed,EATS,1,Teas consumed?,
consumer here,SUPERMARKET,1,Silly remark upset consumer here?,
contact information,BUSINESSCARD,1,Bride can suss out contact information,
contain old chestnuts,WOODLAND,1,Mistakenly download – it might contain old chestnuts,
contemptuously dismiss,LAUGHOUTOFCOURT,1,"Contemptuously dismiss our flu, caught too badly",
contention,TUSSLE,1,Lets us out of contention,
continent,AUSSIE,1,A contentious issue from the continent,
continental meeting place,MESOAMERICA,1,"Some rocky resort of Crimea, a continental meeting place",
continental sleeper,WAGONLIT,1,Continental sleeper upset by long wait,
contraceptive,SHEATH,1,Doctor has the contraceptive,
contract,ENDOWMENT,1,Contract women tend to break,
control,OWNERSHIP,1,Sniper who lost control,
control outbursts,FITSOFTEMPER,1,Set off with permit to control outbursts,
controlled ray,LASER BEAM,1,Controlled ray and bream sale at sea,
controlling factor,HYSTERIA,1,The ray is possibly not the controlling factor,
controls,FLOODGATES,1,Lots of aged switches and controls,
controversial body-builder,STEROID,1,Controversial body-builder editors slammed,
controversially his,THEIR,1,Controversially his (or her) IT crashed,
convenience,LADIES ROOM,1,Soda with lime or rum for convenience,
convenience food's,READYMEALS,1,Convenience food's modified ... Alarmed? Yes!,
conventional character,STEREOTYPE,1,See pottery made by conventional character,
convicted party animal,BERLUSCONI,1,Rib counsel about convicted party animal?,
conviction,THEISM,1,Conviction hits me badly,
cooker,BRAZIER,1,Manufactured bizarre cooker,
cookery,CORDON BLEU,1,Double corn mistakenly used in cookery,
cool,SERENITY,1,Eccentric tiny seer is cool,
cool,ICED TEA,1,Diet ace blended something cool,
cool,UNMOVED,1,Cool mud oven exploded,
cool slippers,ICE-SKATERS,1,Plastic skis create cool slippers?,
cooler,PARKHURSTPRISON,1,Cooler disposition: rapport is shrunk,
cooped up,ROOMRIDDEN,1,Cooped up with wicked door-minder,
coping,BALUSTRADE,1,"A bad result perhaps, but coping",
cord,CHENILLE,1,Hellenic form of cord,
corn,TROPICAL,1,Capri lot could be from its corn,
corner,RIGHTANGLE,1,Large thing spinning in the corner,
cornet,CONE,1,Once arranged for cornet,
cornwall,PADSTOW,1,Wads - top options in Cornwall,
corporation's,ABDOMINAL,1,"Corporation's oilman, bad rogue",
correctly pronounced,ORTHOEPICAL,1,Heal portico that's collapsed: is this correctly pronounced?,
corrector,EMENDATOR,1,"""Corrector"" renamed to ""corrected""",
correspondent,AGONYUNCLE,1,"Clean, young, yet disturbed correspondent?",
corroboration,ADMINICLE,1,Corroboration claimed in process,
cosmic,NEBULA,1,Cosmic swirl unable to spin,
cotton,REALISE,2,Cotton on a reel is wound,
cotton,LATCHON,1,Cotton on cloth (an alteration),
counsellors getting,AGONYAUNTS,1,Counsellors getting letters from young Santa,
counter,ATHWART,1,Counter to what could be art,
counter-arguments,ELENCHI,1,Counter-arguments about hen with lice,
countries once dominated,EASTERN BLOC,1,Countries once dominated fabrication of carbon steel,
country,AFGHANISTAN,1,Ha! Giants fan lost in the country,
country,HAITIAN,1,Thai in a broadcast from another country,
country,DEVELOPMENT AREA,1,Revealed top men working with a poor part of the country?,
country,EMERALDISLE,1,Meriel leads ramble in the country,
country groups,NATIONALITIES,1,One sat playing with initial country groups,
country lovers,PATRIOTIC,1,Country lovers are mixing apricot with it,
country once,BURMA,1,Rumba dancing country once,
country place,FARMHOUSE,1,Country place for Frau's home cooking,
country until recently,MACEDONIA,1,Comedian running a country until recently,
country where,TIMOR-LESTE,1,Country where some litter scattered,
country whose name,RHODESIA,1,"Country whose name was changed, so I heard",
country's leader once reputedly said,ICANNOTTELLALIE,1,"'All in at election after touring', as country's leader once",
country-style,TUNISIA,1,"Dressed in a suit, country-style",
county,FOURPOSTER,1,Chambers features a rewrite of profuse rot on county,
coup de grâce,DEATHBLOW,1,Who tabled amendment for coup de grâce?,
course,TEEING OFF,1,Fifteen go mad driving on course,
course,NAVIGATED,1,Incorrect data given for set course,
course,STEADY,1,"Moving, stayed on course",
court,DOUBLE FAULT,1,"Court problem — ball out, feud developing",
court appearance,RECUSED,1,Secured criminal let off court appearance?,
court appearances,WIMBLEDONTENNIS,1,Women's Lib intend to rally for court appearances,
court officer,SUBPOENA,1,Prepared bean soup served by a court officer,
cover,REFOREST,1,Cover with new trees for trees destroyed,
coverage,VEIL,1,Broadcast live coverage,
covered again,REINSURED,1,"Nude riser, embarrassed, is covered again",
covering both sides,ASTRIDE,1,Free trade is covering both sides,
covertly,INCOGNITO,1,Covertly got in coin for change,
cowards,RECREANTS,1,"Cowards, perhaps in secret, ran",
cowboy film,HORSE OPERA,1,Cowboy film makes hero a poser,
cowhand,GAUCHO,1,A cough mixture for a cowhand,
cows,CHASTENS,1,"Cows, cats and hens are involved",
coy smile,SIMPER,1,Coy smile makes MP rise,
cracker,SLEUTH,1,"Extraordinary hustle, a cracker?",
craftsmen,ETCHERS,1,Craftsmen from Chester,
creature,NILGAI,1,Creature ailing badly,
creature,ALLIGATOR,1,Creature that disturbed a girl a lot,
creature comforts,WELFARE,1,Remarkably few real creature comforts,
creatures,EARTHWORMS,1,Creatures ruining the marrows,
credit people having,AMEX,1,Credit people having failed exam,
crew men showing little,STOKERS,1,Crew men showing little variation in strokes,
cricket may interest these people,ENTOMOLOGISTS,1,"Playing test in gloom, so cricket may interest these people",
cricketer,INFIELDER,1,Fired Neil for upsetting cricketer,
cricketer’s,OUTFIELDER,1,Cricketer’s futile redo botched …,
cricketers,INFIELDERS,1,Cricketers botched friendlies,
crime,PATRICIDE,1,I predict a terrible crime,
crime,ATROCITY,1,CIA try to resolve crime,
crime drama,THESOPRANOS,1,Crime drama seeing a person shot badly,
crime novelist,STIEGLARSSON,1,"Crime novelist (foreign), star sign's Leo",
critic,REPROACHER,1,Wandering preacher or critic,
critical,SATIRICAL,1,Critical of racialist broadcast,
critical cases,PREDICAMENTS,1,"Critical cases from pandemic, rest needing treatment",
"cromwell's ""man",OLIVERIAN,1,"Cromwell's ""man of iron"", a vile distortion",
crop,LINTSEED,1,Crop tends to lie awkwardly,
crops,GARNERED,1,Gardener cultivated and gathered in crops,
crops defender,SCARECROW,1,"With wild caw, scorer crops defender",
cross road,VIA DOLOROSA,1,"Cross road, or also avoid, somehow",
crosses,HYBRIDISES,1,Crosses alarm shy birdies,
crosses,NOUGHTS,1,Crosses alternative shotgun out,
cross-fertilise,INTERMARRY,1,"Cross-fertilise, perhaps - try near rim?",
crossover,ROOD,1,Crossover door,
cross-stitch,ANNOYED,1,Cross-stitch - any done?,
crosswords,TRADE SECRETS,1,Setter scared to broadcast ways to create crosswords?,
"crow, eg",AMERIND,1,"Crow, eg, flying in dream",
crowned head,UNEASY,1,Any use playing with crowned head?,
crudely typical,ARCHETYPAL,1,Real and patchy — crudely typical!,
cruel nature,HEARTOFSTONE,1,Cruel nature upsetting to one's father,
cruelty,BEASTLINESS,1,Doctor listens with base cruelty,
crustacean,SPINYLOBSTER,1,Possibly rent rocks for crustacean,
cuddly companions,TEDDYBEARS,1,Rest day arranged with bed and cuddly companions,
cue,THEREUPON,1,Hope tuner can make it on cue,
culinary service,GRATER,1,Order of the Garter for culinary service,
cultural authority,ETHNOLOGIST,1,Ottolenghi's cooking for cultural authority,
cultural centre,FARMSTEAD,1,Dream fast shattered at cultural centre,
cupbearer,GANYMEDE,1,Many edge out cupbearer,
cupid,AMORINO,1,Roman Io stirred Cupid,
curly,RINGLETED,1,"Deleting ""r"" from curly",
currency,PREVALENCE,1,Place never analysed for currency?,
currency,MODERNNESS,1,Mrs needs no foreign currency,
current affairs host,NEWSREADER,1,Nerds were upset about a current affairs host,
current supplier,DYNAMO,1,Current supplier has Monday off,
currently opposed,UPSTREAM,1,Currently opposed to preparation of tempuras,
currently uncle's,INHOCK,1,Currently uncle's wobbly chin OK,
custard,CREMEANGLAISE,1,Seeing caramel in order for custard,
customised vehicle,TOURINGCAR,1,"Ruin go-cart, customised vehicle",
cut,PERCENTAGE,2,Centre-page spread is cut,
cut important passage,ALIMENTARY,1,A new mail entry cut important passage,
cut up,PLASTICSURGEON,1,Corpulent sags I cut up!,
cuts,RATIONALISES,1,Cuts down on waste with unfortunate realisations,
cutting,SCISSORING,1,"Cutting I sign with cross, perhaps",
cuttlefish well,INKHOLDER,1,"Cuttlefish well, perhaps: elk or hind poorly",
cyclist's technique,FREE ASSOCIATION,1,"As for action, I see wobbly trick cyclist's technique",
cymbals,HIHATS,1,Has hit varying sets of cymbals,
cyrano de bergerac,BIGNOSED,1,Cyrano de Bergerac was playing God with Ibsen,
daily period,FORENOON,1,Switches on for one daily period,
dai's family home,THEVALLEYS,1,They'll save poor Dai's family home,
dalek,AUTOMATON,1,"Mantua, too, produces a Dalek",
dallied,TRIFLED,1,Dallied and flirted outrageously,
dame edna everage's excellent,BONZER,1,Dame Edna Everage's excellent bronze bust,
damp,MOISTLY,1,My lot is suffering with damp,
damp dark places,DUNGEONS,1,Awkwardly snog nude in damp dark places?,
damp habitat,ASPHODEL,1,Lops head off plant in damp habitat,
dandy making unseemly,AESTHETE,1,Dandy making unseemly haste to tee off,
dangerous,PLAYINGWITHFIRE,1,Why fat girl I pine about is potentially dangerous,
dangerous,DEATHTRAPS,1,Dangerous things that spread destruction,
dangerous base,THINICE,1,Work ethic in potentially dangerous base?,
danger­ous breathing pattern,APNEUSIS,1,Pauses in abnormal and danger­ous breathing pattern,
dangerous creature,RATTLESNAKE,1,"Dangerous creature, a kestrel – ant is pulverised",
dangerous place,OCEAN,1,Dangerous place for canoe work?,
danish territory,GREENLAND,1,New Englander in Danish territory,
danube here,BELGRADE,1,Barge led out on the Danube here,
dark clothes,NIGHTWEAR,1,Fashion range with dark clothes,
dark desire,DEATH WISH,1,Dark desire with Hades involved?,
darken,CLOUD,1,Could rocks darken?,
darker,SWARTHIER,1,Writer has turned darker,
darkness,IGNORANCE,1,One caring about a state of darkness,
darwin,THEDESCENTOFMAN,1,Fate condemns the extraordinary work of Darwin,
data insertion,INPUT,1,Putin ordered data insertion,
daughter's,ELECTRA,1,Daughter's complex treacle spread,
dawn,BRIGHTANDEARLY,1,Barren daylight breaking at crack of dawn,
dead,DOORNAILS,1,Sailor and don in trouble - they are dead,
dead language,OLDNORSE,1,Don's role - translating a dead language,
deadly,POISONOUS,1,"Deadly pious, soon converted",
deadly creature,KILLERWHALE,1,"Deadly creature – he’ll like war, possibly",
deaf people may appreciate,SUBTITLE,1,Deaf people may appreciate blue tits flying around,
dealers,TRADESFOLK,1,Folder with task organised for dealers,
deathly kingdom,NIFLHEIM,1,"Deathly Kingdom of Hel, if I'm n__ mistaken",
debility,NEURASTHENIA,1,Unlikely hint re: nausea in debility,
decent,CREDITABLE,1,Decent plastic ID bracelet,
deciding factor,TIP THE BALANCE,1,Silly bet – let in a chap to be the deciding factor,
decisive,DITHERS,1,This red revolution is not decisive,
decisively beat,TROUNCE,1,"Decisively beat in recount, with constituents reorganised",
decoding,ANALYSING,1,Decoding any signal that's broadcast,
decorated book jackets,DUSTCOVERS,1,Curves and dots decorated book jackets,
decorating,PATTERNING,1,Decorating it with pregnant bats,
decoration,STOMACHER,1,Decoration worn to marches,
decorative,QUATREFOIL,1,Sort of flora - and quite decorative?,
decorator,INLAYER,1,Decorator I nearly made crazy,
decreased,BROUGHT DOWN,1,Decreased growth bound to change,
dedicated follower,VOTARY,1,Fashion to vary for dedicated follower,
deep voice,LOWPITCHED,1,Somehow depict howl in a deep voice,
deeply religious,GODFEARING,1,Deeply  religious friend agog after conversion,
defamatory reporter responsible,SCANDALMONGER,1,Defamatory reporter responsible for devastated man's cold an,
defect,ABERRATION,1,Shocked at airborne defect,
defence against bombers,AIRRAIDSHELTERS,1,Details Harriers to scramble in defence against bombers,
defenceless,VULNERABLE,1,A bull never becomes defenceless,
deferred payment,ONCREDIT,1,Unusual doctrine of deferred payment,
definitely,NO DOUBT,1,Definitely working out with Bond,
definitely,ILLSAY,1,"Definitely, Sally and I are to be converted",
"definition: ""large plate, small portions",NOUVELLECUISINE,1,"In clue I use novel cryptic definition: ""Large plate, small ",
degree,AEGROTAT,1,Sick to a great degree?,
deity,SERAPIS,1,Praises false deity,
delay joining,TARRIANCE,1,Delay joining in rat race,
delays,HESITATES,1,This tease contrived to produce delays,
delhi dialect,HINDUSTANI,1,Indian thus developing the Delhi dialect,
deliberate exaggeration may,HYPERBOLE,1,Deliberate exaggeration may possibly be her ploy,
delicacy,SUSHI,1,Delicacy from his US cooking,
delicacy,PATE DE FOIE GRAS,1,Cook adores pig feet — a delicacy,
delicacy,RAREBIT,1,Arbiter of cooked delicacy,
delicacy,OYSTER,1,Storey designed with delicacy,
delicate ornamentation,FILIGREED,1,Rigid feel disguised with delicate ornamentation,
delic­ate papers,FLIMSIES,1,Doctor misfiles delic­ate papers,
delight,RAYOFSUNSHINE,1,Delight fussy ROH sorts with Annie,
delighted,CAPTIVATED,1,Fixed cat — vet paid and delighted,
delighted,ENRAPTURED,1,Poor Rupert Dean is delighted,
deliveries,RENDITIONS,1,Deliveries producing din in store,
demand,ENTREATY,1,Yet aren't cooks in demand?,
demand more effort,CRACKTHEWHIP,1,Watch her pick nuts and demand more effort,
democratic gestures,ELECTIONS,1,Democratic gestures to silence unrest?,
demonic,GHOULISH,1,Demonic soul with high forms,
demonstrates musical skill,PLAYSBYEAR,1,Demonstrates musical skill; barely pays out,
demonstrating pride,DIGNITY,1,"Tidying around, demonstrating pride",
demonstrative,EVIDENTIAL,1,Demonstrative disturbing tale divine,
demoralise,UNNERVE,1,"Demoralise nun, ever misbehaving",
denial,NODICE,1,Denial set in code,
denigrate,CALUMNIATE,1,Malice aunt spread to denigrate,
denizen,HORSESHOE CRAB,1,Denizen of rocky shores or beach,
denounced,IMPUGNED,1,Denounced cryptic e.g. with dim pun,
dense food,RYEBREAD,1,"Dense food dry, a beer is drunk",
denying oneself,ABNEGATING,1,Denying oneself gin? Bang tea on!,
dependable,LOYAL,2,Alloy turns out to be dependable,
depicted making imaginary pass,SHANGRILA,1,A Nash girl depicted making imaginary pass,
depicting,PORTRAYAL,1,"Depicting characters performing in play, or art",
depression,LOWSPIRITS,1,Slow trip is producing depression,
deputy leader,TANAISTE,1,Deputy leader in a state abroad?,
describe party wear,PAPERHATS,1,Apt phrase to describe party wear?,
describes party wear,PAPERHATS,1,Apt phrase describes party wear?,
describing,ADNOMINAL,1,"Describing a thing, possibly a mandolin",
describing hamlet,DANISH,1,Describing Hamlet and his rotten state,
describing sounds,PHONETIC,1,Describing sounds of one pitch in broadcast,
description,ROGUISH,1,Description of playful Sir Hugo?,
deserted,SINAI,1,Deserted area is in a bad way,
deserts etc,WIDEOPENSPACES,1,Deserts etc produce woes with appendices burst,
deserved,UNEARNED,1,Endure an arrangement that's not deserved,
deshabille,TOPLESS,1,Slept so badly in a state of deshabille,
designing inlaid ornament,EMBLEMA,1,Blame me for designing inlaid ornament,
despite what's been said,AFTERALL,1,"Despite what's been said, a rat fell out",
despotic ruler,IVAN THE TERRIBLE,1,"Despotic ruler is evil, their banter staggering",
dessert items,CREAMCAKES,1,Possibly make scarce dessert items,
detail,ELABORATE,1,"To be a real problem, go into detail",
detective,ALBERTCAMPION,1,Detective and policeman struggling with brat,
detective's easy task,OPEN-AND-SHUT CASE,1,"Detective's easy task, Sudanese chap not devious",
determine before,PREORDAIN,1,Determine before spilling drop in ear,
determined,INCHOATE,1,A coin - the tossing is not determined,
device,CUSTARDPIE,1,Script due a daft comic device,
deviser,ARCHITECT,1,Deviser of the melting of the Arctic,
devon,SEATON,1,Cast a stone in Devon,
diagram maker,SCHEMATIST,1,Diagram maker matches its bends,
diamond centre,KIMBERLEY,1,Mike and Beryl involved in diamond centre,
diana''s dogs,DEERHOUNDS,1,Diana''s dogs sounded her out,
"diarist, having",NIGELDEMPSTER,1,"Diarist, having crashed, emerged with splint",
diathesis,ILLHEALTH,1,Hi! All h*** let loose — it's diathesis,
dickensian,OLIVERTWIST,1,Dickensian served vitriol stew,
dictated,LAID DOWN THE LAW,1,Dictated what Dean will do differently,
did consume too much,OVERINDULGED,1,"Devour gin, led astray — did consume too much",
did he solo my sweet lord,GEORGE HARRISON,1,Did he solo My Sweet Lord or share playing with e.g. Ringo?,
did one,ABSCONDED,1,Did one set free second dab?,
didn't acknowledge,IGNORED,1,Didn't acknowledge or deign to move,
didn't dally,MADEHASTE,1,Didn't dally as the Dame in variety,
didn't really happen,AHISTORICAL,1,Twisting of a choir's tail that didn't really happen,
didn't speculate? evidently,NOTHINGVENTURED,1,"Didn't speculate? Evidently, no div! Then get run out",
dieter watches them,CALORIES,1,"Dieter watches them, Erica and Sol performing",
difficulties,POSER,1,Prose form that gives difficulties,
"difficulties, being pulled along",INTOW,1,"Two in difficulties, being pulled along",
dig up,TAPROOTS,1,Parts too difficult to dig up?,
digestive system,OESOPHAGUS,1,A poo gushes out from this part of the digestive system,
digger,COALMINER,1,"Digger, I'm clear, needing no ground",
digital filing tool,EMERYBOARD,1,Maybe order new digital filing tool,
digital projection tempered,TOENAIL,1,Digital projection tempered elation,
digitally,FINGERTIP,1,"Altered print, eg if manipulated digitally",
dignitary making,LEADINGLIGHT,1,Dignitary making Agent Hill dig,
dilapidation,DISREPAIR,1,"Rapid rise, sadly, in dilapidation",
dining room,MESS HALL,1,He's troubled with small dining room,
dinner,RECIPES,1,Surprisingly precise instructions for dinner?,
dinosaur,BELONGTOTHEPAST,1,Pot the noble stag to be a dinosaur,
direct,UNSUBTLE,1,"EU's blunt, angry, direct",
direction,RETROGRADE,1,"Order great changes, going in a bad direction",
direction,VEERS,1,Free verse changes direction,
directs,INSTRUCTS,1,Directs NUS with strict changes,
disappointing,LETS THE SIDE DOWN,1,Somehow ended lowest — this is disappointing,
disappointing outcome,LETDOWN,1,Doctor dwelt on disappointing outcome,
disappointment,OHDEAR,1,Road he designed that's a disappointment!,
discerning,NOTICING,1,Discerning mixture of gin and tonic,
disciplinarian,TASKMASTER,1,Disciplinarian marks a test roughly,
discipline,PENALISE,1,"Discipline producing pain, else kinky?",
discipline he's strict,MARTINET,1,"Strangely, in matter of discipline he's strict",
discomfiture,EMBARRASSMENT,1,The ridiculous Mr Bean masters discomfiture,
discover haul,SCHLEPP,1,Bent PC helps to discover haul,
discovering famous journalist's final words,ANDSOTOBED,1,Don boasted about discovering famous journalist's final word,
discovering maximum security product,SUPERGLUE,1,"Criminal rues leg up, discovering maximum security product?",
discovers,IDENTIFIES,1,Discovers new diet is fine,
discovery means,ESPIAL,1,Discovery means plea is changed,
discretion,TACTFULNESS,1,Flatus scent – moved: discretion,
discussed,OFF-LIMITS,1,Slim fit of pants not to be discussed,
disdain,BRUSHASIDE,1,Disdain? That's absurd - is he crazy?,
disembark,STEPASHORE,1,Stop here as arranged and disembark,
disgrace,UNDER A CLOUD,1,"After fiddling dad, our uncle is in disgrace",
dishonour,SCANDAL,1,Lads can be involved in dishonour,
dismay,DISHEARTEN,1,Upset there is - and dismay,
dismisses,RUNSOUT,1,Dismisses UN tours abroad,
disobey,TRANSGRESS,1,Disobey – stress gran out,
display brevity,LACONISM,1,Claims no drunk can display brevity,
display newtonian principles,LAWSOFMOTION,1,Two moons fail to display Newtonian principles,
displaying most fibre,STRINGIEST,1,"Rough grittiness, displaying most fibre",
displays,RINGSTHECHANGES,1,Displays variety of gins Gretchen has drunk,
disposal,RIDDANCE,1,Disposal of rum and cider,
disposing,RIDDANCE,1,Disposing of cider and bubbly?,
dispute resulting,ARGUE THE TOSS,1,Dispute resulting from deviously tough teasers,
disquisitions,DISSERTATIONS,1,Disquisitions degenerate into disasters,
dissent,RECUSANCE,1,Can secure insecure dissent,
dissenter,APOSTATE,1,Dissenter beaten to a paste,
distance,IMPERSONALITY,1,"""Distance"" simile — any port in a storm",
distanced,ALIENATED,1,Distanced by a date-line blunder,
ditty,ARIETTA,1,Curious attire for a ditty,
divers,MISCELLANEOUS,1,"Divers with no clue, aimless at sea",
dives,RICHMAN,1,Dives in March storms,
divine messenger taking,NAHUM,1,Divine messenger taking human form,
divine quality,IMMANENCE,1,Divine quality came in men surprisingly,
divinely comedic writer,DANTE ALIGHIERI,1,Rage in The Iliad distressed divinely comedic writer!,
division,FLYWEIGHT,1,Lefty Whig spreads division,
divisive policy,SEGREGATION,1,Divisive policy contrived eg with iron gates,
divorce,DECREENISI,1,Desire nice sort of divorce,
do guests,PLUS-ONES,1,Do guests break up lesson?,
do jobs simultaneously,MULTITASK,1,Somehow I must talk and do jobs simultaneously,
do some editing,REDACT,1,Carted off to do some editing,
do some shopping,NAME NAMES,1,"Confounded, as men mean to do some shopping!",
do these fish,EELPOUTS,1,Do these fish sleep out at sea?,
doctoring,HARLEYSTREET,1,Realty there's for doctoring,
doctoring,WONDERED,1,Was curious deer down for doctoring?,
doctrine arousing,EGALITARIANISM,1,Doctrine arousing a militia's anger,
document,TYPESCRIPT,1,Pretty pics unusual in document,
doddery oldster,CENTENARIAN,1,Near ancient doddery oldster,
doddle,EASYASPIE,1,Treatment for payees is a doddle,
does,UNLOCKS,1,"Does crack? Bad luck, son",
does nothing,POTTERS,1,Does nothing in particular for protest movement,
doesn't,DETAINS,1,Doesn't let go — sets free instead,
doesn't take long,NANOSECOND,1,Canon's done exercising — it doesn't take long,
dog,OTTERHOUND,1,Dog suffering due to thorn,
dogs,BULL TERRIERS,1,Terrible slur worried dogs,
"domingo, notably",OPERASTAR,1,"Domingo, notably, worked as a porter",
don’t,HANGONASEC,1,"Don’t go yet, can one shag hurt?",
don’t eat,USEBYDATE,1,Don’t eat after this Tuesday – be perverse!,
donated organs,SPAREPARTS,1,Rappers sat playing donated organs,
donkeys,BEASTSOFBURDEN,1,"Donkeys, say - stubborn as feed is flaky",
don't,KEEP,1,Don't abandon maltreated peke,
don't,WASTE,1,Don't use the tawse indiscriminately,
don't ask me,MYLIPSARESEALED,1,Is reply made at odds with sale? Don't ask me!,
don't care,NEUTRAL,1,Don't care for real nut spread,
don't hold,DISAPPROVE,1,Don't hold with careless vapid prose,
don't keep,TURNOFF,1,"Don't keep going on about ""Fort Fun""!",
don't lose hope! do,NEVERSAYDIE,1,Don't lose hope! Do I deserve any?,
don't obstruct,KEEPCLEAR,1,Don't obstruct slippery eel packer,
don't tell people,BETWEEN YOU AND ME,1,Don't tell people exciting women need beauty,
doting,BESOTTED,1,Doting marshals dote best,
double,SURROGATE,1,Rogue star upset body double,
doubled up three,EIGHTFOLD,1,Doubled up three times out of delight,
double-dealing,TREASON,1,"Double-dealing, but aren't so bad",
doubles,TRAMLINES,1,Terminals possibly used for doubles,
doubt,OPULENCE,1,Riches of clue open to doubt,
doubtless,SELFCONFIDENT,1,"Doubtless, mistake offends client",
downfall,RAINSTORM,1,Minor star cast in Downfall,
down-to-earth quality,REALISM,1,Down-to-earth quality of Mailer's work,
downward slope,DECLIVITY,1,City lived in turmoil; it's a downward slope,
dracula,VLAD THE IMPALER,1,Tall vampire — he'd worked for Dracula,
dragged along,INTOW,1,Maybe I won't be dragged along,
drama,ANIDEALHUSBAND,1,Unabashed lad in disorderly drama,
drama lover,THEATREGOER,1,Are together with smashing drama lover,
dramas,OPERETTAS,1,Dramas poet rates badly,
dramatic,ROLEPLAY,1,Dramatic representation of year with poll involved,
dramatic,THEDYNASTS,1,Dramatic work produced by testy hands?,
dramatic entertainments,THEATRE,1,The going rate for dramatic entertainments,
dramatic location,ELSINORE,1,Ground relies on dramatic location,
dramatist,LESAGE,1,Wild Eagles dramatist,
dramatist,ARTHURMILLER,1,Dramatist fermented rum; rather ill,
dramatist,ARISTOPHANES,1,Dramatist or thespian - as in play,
dramatist,SENECA,1,Dramatist rewrites a scene,
draw without stopping,CHAINSMOKE,1,Has ink come off? Draw without stopping?,
drawer,OSBERTLANCASTER,1,Rat's nest - or cable tangled in drawer,
dreadlocks,RASTA,1,A star performing in dreadlocks,
dream character,STARVELING,1,Dream character upset re TV signal,
dream offered,CASTLE IN THE AIR,1,Dream offered by a chain letter is dodgy,
dreaming rovers,SOMNAMBULISTS,1,"Dreaming Rovers failing MOT, lass is numb",
dreamliner's quality,AIRWORTHY,1,Worry a hit might spoil Dreamliner's quality?,
dreamy prediction,ONEIROMANCY,1,Dreamy prediction of creamy onion soup,
dress,FROU-FROU,1,Four performing four dances in elaborate dress,
dressing,BEARNAISE SAUCE,1,Aussie with a beer can clumsily dressing,
dressinggown,PEIGNOIR,1,I grope in jumble for a dressinggown,
dried fruit,ALLSPICE,1,Game pie calls for dried fruit,
dries,DEHYDRATES,1,Dries and dyes thread in production,
drilling,ITERATION,1,"Drilling, say, I tear into rocks",
drinker's challenge,YARDOFALE,1,Drinker's challenge is ordeal Fay bungled,
drinking again,REHYDRATION,1,"Drinking again, the ordinary failing",
drinking establishment,WINEBAR,1,Order brew in a drinking establishment,
drinking partners,WINESANDSPIRITS,1,"Drinking partners witness'd in pairs, perhaps",
drinking place,BEERGARDEN,1,Erred and began to go wrong in the drinking place,
drink-maker,CAFETIERE,1,Eerie fact about drink-maker,
drive,EXCURSION,1,Drive sorted out six with no cure,
driver,ALONSO,1,Saloon ordered for racing driver,
driver's sidekick,NAVIGATOR,1,Driver's sidekick directed van to Riga,
drop scone,GRIDDLECAKE,1,Drop scone naughty Edgar licked,
drudge,BOTTLE-WASHER,1,Drudge changing bather's towel,
drug,PSEUDOEPHEDRINE,1,"Distraught dope-needer, I push drug",
drugged,MEDICATED,1,Drugged caddie met with rough treatment,
druggy,NARCOTIST,1,Traction's treatment for druggy,
duck,NOTHING,1,Night on rocks for duck,
duckworth,VERA,1,Rave review for a Duckworth,
duct,TEAR DROP,1,"Broken tap, order liquid from duct",
due course,AFTERATIME,1,Fire at mate? Trouble in due course,
duel,AFFAIREDHONNEUR,1,"Doctor afraid of nun, here for the duel",
duet,SECONDI,1,CD noise spoiled parts of a duet,
dull,TAKETHESHINEOFF,1,Dull fake honest thief replaced,
dull,DRABNESS,1,To ban fashion in dress is dull,
